latitude,longitude,Salinity,Time,UUID
73.348,62.09776,31.5649,2016-07-16 12:54:15,7cc5fcfc-e42b-4078-a422-e943c1c8b47a
73.34886,62.1006,32.4238,2016-07-16 12:54:42,aa24bc9a-92ff-4342-bed7-67988626dcfe
73.34974,62.10344,32.464,2016-07-16 12:55:09,9c24da36-c3e4-480f-af29-c47dfc7cf76f
73.3506,62.10628,32.1629,2016-07-16 12:55:36,ebfbe68e-d471-435d-8c23-7e2fbee18846
73.35148,62.10912,31.7368,2016-07-16 12:56:03,96d32113-cdca-4e8c-be0a-ed79ef872682
73.35236,62.11198,32.2519,2016-07-16 12:56:30,2e1ae113-c788-4a95-a394-e881f4160ec9
73.3532,62.1147,31.3889,2016-07-16 12:56:57,6d144181-b001-4433-abf4-2fe03fd2bbd2
73.35412,62.11764,32.2582,2016-07-16 12:57:24,eae6014e-a362-4277-9797-fd2f1401334d
73.35498,62.12046,31.5678,2016-07-16 12:57:51,d739c17c-672d-4f9e-9b79-f8a247abc32d
73.35586,62.12332,32.3961,2016-07-16 12:58:18,f0c857c8-9057-473d-b38a-6288c7e72982
73.35672,62.12616,32.4364,2016-07-16 12:58:45,c6a3b9a7-30ee-47bd-8317-afc9f5103aec
73.3576,62.12898,32.3767,2016-07-16 12:59:12,f110bcd9-3c69-4cbe-94fd-ba40942c1df6
73.35848,62.13182,32.345,2016-07-16 12:59:39,37522746-02f5-4dc1-b1aa-f079ab9b9f60
73.35936,62.1347,32.1942,2016-07-16 13:00:06,b4a3e64e-dbb5-425f-9ca3-cb1868527248
73.36022,62.13756,32.5559,2016-07-16 13:00:33,7672c2b9-fd50-456e-9fee-1565328e1b8d
73.36112,62.14044,32.3953,2016-07-16 13:01:00,0f319287-a3bf-4482-bcc1-4326ea404fb4
73.36198,62.14326,32.3725,2016-07-16 13:01:27,25220057-f11a-45b7-aac0-c20af199d9da
73.36286,62.14612,32.6051,2016-07-16 13:01:54,14f1b6bb-a1e4-4cac-b3fd-44cfad88759e
73.36374,62.14894,32.3183,2016-07-16 13:02:21,bf9da3e3-7cb3-4006-9afb-977c74a2b029
73.36458,62.15178,32.3801,2016-07-16 13:02:48,725e7b2d-3686-472f-ae57-41d0c1d58583
73.36546,62.15456,32.23,2016-07-16 13:03:15,74095904-6a9a-42ab-abef-b549d4147975
73.36632,62.15742,32.4317,2016-07-16 13:03:42,ac443854-69c4-4dd9-be04-ef6f7d1fdb48
73.3672,62.16024,32.2473,2016-07-16 13:04:09,e8221bea-ea23-43fa-9599-6f72a3592d72
73.36806,62.16308,30.9481,2016-07-16 13:04:36,52682c19-023c-4177-a553-6b659a18f3dc
73.36894,62.1659,32.319,2016-07-16 13:05:03,4345a876-fec2-493a-8771-bb1ca0f7a56f
73.3698,62.16878,28.7722,2016-07-16 13:05:30,61fda972-ed4b-4c45-9a25-0ad25b9b409f
73.37068,62.17158,32.4006,2016-07-16 13:05:57,de041352-8e5b-4223-8fef-6ae478a3229b
73.37156,62.17442,26.1368,2016-07-16 13:06:24,fcab7f30-631a-49c8-8cef-ffc4205d4b1e
73.37242,62.17728,32.4566,2016-07-16 13:06:51,7ff0edf4-7359-4206-bded-a0e572127a58
73.3733,62.18016,31.7541,2016-07-16 13:07:18,1d3e6552-3d36-409e-b650-0ffdc822e656
73.37416,62.18302,32.1979,2016-07-16 13:07:45,8f38b10c-daa2-4c14-9ab0-1dcbfd0d9aba
73.37504,62.18586,31.1879,2016-07-16 13:08:12,3f032b8c-8249-4068-b6c5-d46599bfea05
73.3759,62.18874,31.9398,2016-07-16 13:08:39,2c86b7f8-6da6-44d3-8a96-d25c95750b11
73.37678,62.19158,32.1569,2016-07-16 13:09:06,ebc07f9e-30e3-4c3f-8948-70ddf0c64766
73.37764,62.19444,32.3928,2016-07-16 13:09:33,0489c682-e535-47c1-ae00-7c8dd730178b
73.3785,62.19726,31.9834,2016-07-16 13:10:00,1f7ebf1d-d150-4c7b-a7f2-122aaf8b249d
73.37936,62.2001,28.9098,2016-07-16 13:10:27,5c8cbcd8-46bd-4c60-a150-bcb6a2c64f04
73.38024,62.20294,32.3734,2016-07-16 13:10:54,e85d8a55-be95-4566-8acb-a024bc839180
73.38112,62.20578,32.5556,2016-07-16 13:11:21,50c0cc26-d39d-4594-82fe-0b98593b06a1
73.38198,62.20864,32.0597,2016-07-16 13:11:48,f3b7c28b-635f-48c0-b160-4be48b3c5147
73.38286,62.21148,32.4399,2016-07-16 13:12:15,ecd1ed7d-b560-4b86-bb57-d8c92d8a1bb5
73.38372,62.21432,32.1574,2016-07-16 13:12:42,cf465f47-a9ab-44d6-9d31-321acf5c53f2
73.3846,62.21718,25.7313,2016-07-16 13:13:09,06acfca9-693e-4613-9f27-f0f1f7fac503
73.38546,62.22006,29.9227,2016-07-16 13:13:36,2d017f7d-5b4a-40d9-a425-224fe7b5245f
73.38632,62.22292,32.2879,2016-07-16 13:14:03,171764ea-3da6-4a6f-af36-ce5e12a17354
73.3872,62.22578,32.0419,2016-07-16 13:14:30,f88f7484-a9ff-4993-9d00-2b011a468ce4
73.38806,62.2286,32.0771,2016-07-16 13:14:57,9d5fff4b-7858-4d38-bc21-abc7ed07a465
73.38894,62.2315,32.4178,2016-07-16 13:15:24,cc942615-541a-4905-938c-3aef0dcaacff
73.38982,62.23436,31.2078,2016-07-16 13:15:51,69f6ee84-da48-424e-91ee-2805d8fec516
73.39066,62.23716,32.4843,2016-07-16 13:16:18,068167a1-2652-4f7a-a1c4-3690bfc6726b
